image_path,label
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014505.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img015358.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014069.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011225.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017200.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011498.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013857.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008412.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008355.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img016010.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017661.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014394.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014029.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013239.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011048.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017581.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013624.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img012385.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017555.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img010413.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img015643.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008425.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img015538.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011825.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img015759.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img010008.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017390.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014768.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img009214.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011246.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img016725.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013294.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img000673.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017606.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img015919.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img009687.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013328.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014726.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img010055.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008420.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img010275.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013107.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img000412.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008619.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008787.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014046.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011844.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img010695.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013818.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011153.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img000898.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011856.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img015985.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008984.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013790.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img015389.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img012063.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008967.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img000266.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011634.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img000485.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017217.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img000653.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img009668.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017274.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014697.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008551.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img016726.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img013560.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008306.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img011427.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img017623.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img008932.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img014551.jpg,fake
C:\Users\Pranoti munjankar\OneDrive\Desktop\python\merged_dataset\train\fake\img015243.jpg,fake
